"Time","#","Name","Reading1","Reading2","Reading3","Reading4","Reading5","DataSnap"
"11/30/2025 4:00:00 PM","19009393","Active 3 Deep","47.4","16.9","34.2","3201","8469","Active"
"11/30/2025 8:00:00 AM","19009393","Active 3 Deep","47.5","17","34.2","3217","8502","Active"
"11/30/2025 12:00:00 AM","19009393","Active 3 Deep","47.4","17.1","34.2","3217","8512","Active"
"11/29/2025 4:00:00 PM","19009393","Active 3 Deep","47.5","17.3","34.2","3211","8486","Active"
"11/29/2025 8:00:00 AM","19009393","Active 3 Deep","47.5","17.3","34.2","3217","8500","Active"
"11/29/2025 12:00:00 AM","19009393","Active 3 Deep","47.3","17.4","34","3222","8571","Active"
"11/28/2025 4:00:00 PM","19009393","Active 3 Deep","47.4","17.5","34.2","3217","8514","Active"
"11/28/2025 8:00:00 AM","19009393","Active 3 Deep","47.5","17.5","34.3","3222","8499","Active"
"11/28/2025 12:00:00 AM","19009393","Active 3 Deep","47.4","17.6","34.2","3232","8552","Active"
"11/27/2025 4:00:00 PM","19009393","Active 3 Deep","47.4","17.7","34.1","3227","8549","Active"
"11/27/2025 8:00:00 AM","19009393","Active 3 Deep","47.4","17.8","34.2","3237","8565","Active"
"11/27/2025 12:00:00 AM","19009393","Active 3 Deep","47.4","17.9","34.2","3232","8561","Active"
"11/26/2025 4:00:00 PM","19009393","Active 3 Deep","47.5","17.9","34.2","3232","8539","Active"
"11/26/2025 8:00:00 AM","19009393","Active 3 Deep","47.3","17.9","34.1","3242","8611","Active"
"11/26/2025 12:00:00 AM","19009393","Active 3 Deep","47.4","18","34.2","3237","8566","Active"
"11/25/2025 4:00:00 PM","19009393","Active 3 Deep","47.4","18.1","34.2","3237","8561","Active"
"11/25/2025 8:00:00 AM","19009393","Active 3 Deep","47.4","18.1","34.1","3237","8594","Active"
"11/25/2025 12:00:00 AM","19009393","Active 3 Deep","47.4","18.1","34.1","3242","8605","Active"
"11/24/2025 4:00:00 PM","19009393","Active 3 Deep","47.5","18.2","34.2","3237","8553","Active"
"11/24/2025 8:00:00 AM","19009393","Active 3 Deep","47.4","18.2","34.2","3242","8585","Active"
